,name,cmp,p/e,mar_cap,div_yld_%,np_qtr,qtr_profit_%,sales_qtr,qtr_saeles_%,roce_%,pat_ann
1,Reliance Industr,2961.4,28.75,2003965.01,0.3,21243.0,-1.34,236533.0,11.13,10.02,69621.0
2,TCS,3814.75,29.73,1380210.04,1.45,12502.0,9.15,61237.0,3.51,64.28,46598.19
3,HDFC Bank,1608.75,19.07,1223559.58,1.22,18012.87,39.92,79433.61,67.06,9.5,64062.04
4,Bharti Airtel,1428.7,71.63,853241.05,0.27,2068.2,29.63,37599.1,4.42,13.13,11911.52
5,ICICI Bank,1123.05,17.89,789893.47,0.72,12200.05,18.46,42606.72,23.72,8.37,44256.37
6,St Bk of India,844.6,11.09,753772.79,1.61,22202.73,18.18,117469.38,19.77,6.16,67102.23
7,Life Insurance,1056.1,16.27,667983.02,0.93,13784.08,4.49,238968.3,18.75,66.35,40884.77
8,Infosys,1497.65,23.92,621808.55,2.51,7975.0,30.04,37923.0,1.29,39.99,26025.25
9,Hind. Unilever,2485.0,56.87,583991.14,1.69,2561.0,-1.59,15210.0,-0.03,27.24,10272.57
10,ITC,428.8,26.13,535406.98,3.2,5190.71,0.02,17922.7,1.63,37.46,20464.49
11,Larsen & Toubro,3688.7,39.38,507249.99,0.76,5013.17,8.72,67078.68,14.99,13.44,12899.15
12,Bajaj Finance,7331.25,31.35,453801.75,0.49,3824.53,21.11,14926.21,31.35,11.87,14451.17
13,Maruti Suzuki,12576.2,29.26,395398.93,0.71,3952.3,47.05,38471.2,19.43,23.68,13488.2
14,HCL Technologies,1438.0,24.79,390224.96,3.58,3995.0,0.13,28499.0,7.11,29.84,15702.0
15,Adani Enterp.,3307.9,107.46,377100.97,0.04,352.25,-41.62,29180.02,0.82,9.87,3510.12
16,Hind.Aeronautics,5533.35,48.64,370056.56,0.5,4292.04,51.06,14768.78,18.2,38.9,7595.04
17,M & M,2960.5,32.72,368347.97,0.71,3124.94,5.37,35451.73,9.23,13.66,11268.64
18,Axis Bank,1190.65,13.94,367872.61,0.08,7630.07,53.87,30230.58,22.74,7.53,26386.2
19,Sun Pharma.Inds.,1519.0,36.44,364458.95,0.76,2658.74,28.7,11982.9,9.63,17.31,10005.02
20,Tata Motors,985.65,11.2,361348.61,0.3,17528.59,213.8,119986.31,13.27,20.11,32193.28
